Questions,Option 1,Approach - 1,Correctness of Option 1,Option 2,Approach - 2,Correctness of Option 2
"26 year old lady, a non smoker, with no comorbidity presented with complaints of blood in the sputum since 2 months. She had history of pulmonary TB 10 years back for which she had completed a course of Anti Tubercular Treatment (ATT) as per the advice of the local TB treatment centre. She had a recurrence of TB 5 years back which was diagnosed as multi drug resistant TB (MDR-TB). She was then put on ATT regimen for MDR TB for around 18 months. Patient mentioned that she is been having recurrent cough with expectoration and fever once or twice a year for last 3 years. She is otherwise healthy with good general condition and effort tolerance. She is able to climb 3 floors without stopping without any desaturation. X ray chest showed opacity in bilateral upper zone. CECT thorax showed an aspergilloma in the left upper lobe and a significant area of bronchiectasis in the right upper lobe. What should be the next best investigation.",Bronchoalveolar lavage (BAL).,Codex,Correct,sputum acid-fast bacilli (AFB) smear and culture.,KJ,Correct
A young 16 year old girl was brought by her parents as she cut herself on her wrists. She said she had a bad breakup with her boyfriend. She says she does not want to live any more. She feels sad. Does not enjoy any activities. Says there is no reason to live or achieve anything. Is not sleeping or eating since one week. Not attending her college. Only on phone all day . Crying all day and repeatedly calling her boyfriend who is not entertaining her calls. She threatens to end her life. What is the diagnosis and what is line of management?,major depressive disorder.,Codex,Correct,Major Depressive Disorder.,KJ,Correct
"A 35 year old woman pays a visit to the dermatology outpatient department for brittle nails, after getting a manicure. On further evaluation, she gives a history of burning sensation in the mouth after consuming hot or spicy food. On examination, the nails showed thin nails with onycholysis and pterygium. The buccal mucosa and tongue showed white patches and one ulcer. There were a few itchy dark papules over the ankles. What is the most likely diagnosis?",Lichen Planus.,Codex,Correct,Biopsy to confirm the diagnosis of lichen planus.,KJ,Correct
A 26 year old woman came to the obgyn opd with heaviness and dull aching pain in her lower abdomen for the last 2-3 months. She has been married for two years and has no other abdominal complaints. Her menses are regular and moderate in quantity. On abdominal examination there is a firm mass in her abdomen extending in the midline from pelvis till up till the umbilicus. It is mobile and non tender. On vaginal examination cervix appears healthy and is contiguous with the mass. What MRI features of such a mass would indicate malignant potential?,"Solid component with irregular margins, ill-defined borders, or areas of necrosis.",Codex,Correct,"Rapid growth, irregular shape, ill-defined margins, enhancement, restricted diffusion, high signal intensity on T2-weighted images, low signal intensity on T1-weighted images, presence of necrosis or hemorrhage.",KJ,Correct
"A 40 year old male presented to the casualty with breathlessness. He had been feeling this since ten mins so wife rushed him . His heart rate was 150 . He was flushed n could not speak. All examinations were normal. Cardiologist said no issue. He then revealed he has had these episodes since two months where he feels breathless, heart beats fast, feels limp in throat and often worries when he Wil have the next attack . He says the attack subsides in 15-20 mins usually. He off late has been stressing a lot at work n has been going through some personal issues too",Refer the patient to a psychiatrist or a therapist.,Codex,Correct,Refer the patient to a psychiatrist or therapist.,KJ,Correct
"A 64 year old woman who stays at an old age home, presented with skin lesions over lower lip, nose and scalp. The lesions are plaques with mild crusting and on removal of the adherent crust, follicular spikes are seen underneath. She is a vegetable vendor and gives a history of burning sensation over the lesions on prolonged sun-exposure. On further examination, few scarring, central atrophy, telangiectasia and hypopigmentation was noticed on affected areas. Ears show small pitting. In which spectrum of lupus does she fit?",Discoid lupus erythematosus (DLE).,Codex,Correct,Subacute cutaneous lupus erythematosus (SCLE).,KJ,Incorrrect
"65 year old gentleman, a chronic smoker without any comorbidities, presented with c/o chronic cough since last 6 months. He is having mild blood in the sputum since last 7 days. There is no breathlessness, chest pain, change in voice, loss of appetite or loss of weight. X ray chest showed an opacity in the right lung. CECT thorax showed a 4 x 4 cm mass in the right upper lobe of lung with enlarged mediastinal lymph nodes. There was no other abnormality found. CT guided biopsy was done which revealed the mass to be a squamous cell carcinoma of lung. What should be the next investigation?",Positron Emission Tomography (PET) scan.,Codex,Correct,PET scan.,KJ,Correct
A 44 year old woman visited the opd c/o heavy menstrual bleeding for the past 10 days preceded by prolonged spotting for 8 days. she has recently noticed some irregularity in her menses in the last 3-6 months. She has noticed weight gain of about 3 kg in the same time period. She has had two normal deliveries and no other surgeries. She has diabetes mellitus and has been on tab. Metformin 500 mg three times a day for the last 2 years. She reports that her blood sugars are regularly checked but recently have been outside the limit advised by her GP. She is not a known hypertensive. An ultrasonography of the pelvis reveals a bulky uterus 12*7*8 cm in size with an endometrial thickness of 18mm showing cystic spaces within. What should be the next investigation and treatment plan in this patient?,"Hormonal evaluation, Glucose Tolerance Test.",Codex,Incorrrect,Endometrial biopsy.,KJ,Correct
"A 46 year old man visits an outpatient department of dermatology with sudden loss of scalp hair in patches. On a detailed examination, partial loss of eyelashes were noticed. Hair pull test was positive at the margins of the bald patches. On dermoscopic evaluation, black dots, yellow dots, broken and tapering hair were observed. What is the drug of choice to halt the progression of the disease?",Triamcinolone.,Codex,Correct,intralesional triamcinolone injections.,KJ,Correct
"Parents bring in their 6 year old due to complaints from school teachers about his behavior. Does not sit in one place, distracts the class, does not do writing work. He keeps talking in class. He often gets up from his place. At home parents find it a challenge to get him to complete activities. Is always on the go. They now avoid going to restaurants as he gets very restless. What is the most likely diagnosis and management plan?",ADHD.,Codex,Correct,ADHD.,KJ,Correct
A 52 year old woman presented to the opd complaining of dull aching pain on the right side of her lower abdomen for the last 2-3 months. She is a para 3 with all three caesarean sections. She had her last menstrual period three years back and never had any bleeding or vaginal spotting since then. Her ultrasound pelvis revealed a large ovarian cystic mass of 7*5*5 cm on the right. The cyst is multiseptated with thick septal walls and has hemorrhagic fluid within. There is no visible solid component. Her CA 125 report is 170 mIU/ml. Other tumours markers are also within normal range. What is the next best investigations for this patient and what tumour characteristics are important?,Laparotomy and biopsy of the ovarian mass.,Codex,Correct,CT scan of the abdomen and pelvis with contrast.,KJ,Correct
A 19 year old boy brought in by parents due to changes in his behavior over last three months. He is not interested in attending college. He is not studyin. Used to be a very bright student. He shuts himself in his room all day. Says he can hear voices. Does not allow parents to watch tv as says characters on tv are speaking about him. Parents have seen him mutterin to himself. His self care has reduced. He repeatedly closes the windows of the house. Keeps telling parents that neighbours have installed cameras in their house. He gets angry and aggressive over small reasons. What could be differential diagnosis?,"schizophrenia, bipolar disorder, depression, anxiety disorder, substance abuse",Codex,Correct,"schizophrenia, schizoaffective disorder, brief psychotic disorder.",KJ,Correct
