Questions,Option 1,Approach - 1,Correctness of Option 1,Option 2,Approach - 2,Correctness of Option 2,Comparison
"A 35 year old businessman from Shimla has a history of itching and thick lesions in axillae, groins and around the neck area for more than 20 years. His father has similar skin lesions. Recently he visited Maharashtra in the month of May and noticed exacerbation of the condition with foul smelling, itchy, thick skin lesions leading to painful erosions and rhagades. The dermoscopy shows polymorphous vessels such as glomerular and linear-looped vessels within a pink-whitish background. What is the diagnosis?","The patient has a history of itching and thick lesions in the axillae, groins, and around the neck area for over 20 years. His father also has similar skin lesions. The patient recently visited Maharashtra in May and noticed an exacerbation of the condition with foul-smelling, itchy, thick skin lesions leading to painful erosions and rhagades. The dermoscopy shows polymorphous vessels such as glomerular and linear-looped vessels within a pink-whitish background. Based on the patient's history, physical examination, and dermoscopy findings, the diagnosis is likely to be Erythroderma.",Codex,Disagree,"The patient has a history of itching and thick lesions in axillae, groins and around the neck area for more than 20 years. His father has similar skin lesions which indicates that this is a genetic condition. The patient recently travelled to Maharashtra in the month of May and noticed exacerbation of the condition with foul smelling, itchy, thick skin lesions leading to painful erosions and rhagades. This indicates that the condition is not just a simple skin infection. Dermatoscopy shows polymorphous vessels such as glomerular and linear-looped vessels within a pink-whitish background. This indicates that the patient has cutaneous leishmaniasis. Leishmaniasis is caused by protozoa of the genus Leishmania transmitted through sandflies. The patient's travel to Maharashtra where sandflies are common indicates that the patient was exposed to sandflies and contracted the disease. The patient's family history and the fact that the condition has been present for 20 years indicates that this is a congenital condition. The patient's recent travel and exposure to sandflies triggered the exacerbation of the condition. Therefore, the diagnosis is Congenital Cutaneous Leishmaniasis.",KJ,Disagree,Both are equal
"A 32 year old female from Mumbai, presented at dermatology OPD with multiple light pink coloured annular plaques all over body for 2 weeks. On examination, face, palms, soles, scalp and mucosae were spared. Patient’s general condition was good, with BP 130/80 mmHg, pulse 78/min, with no respiratory distress. The lesions are slightly itchy and have fine scales. She gives a history of mild fever and cold a few weeks ago and noticed a single lesion on her abdomen, which then resolved, giving rise to the current rash. What could be the most likely causative agent?","The patient has multiple light pink, annular plaques all over her body that have developed over 2 weeks. The lesions are slightly itchy and have fine scales. The patient had a mild fever and cold a few weeks ago and noticed a single lesion on her abdomen, which then resolved, giving rise to the current rash. The patient's general condition is good, with normal vital signs. The patient is from Mumbai. Given the patient's symptoms and history, the most likely causative agent is likely to be a fungus. The patient's rash and symptoms are consistent with a fungal infection such as tinea versicolor. Tinea versicolor is a common superficial fungal infection caused by Malassezia globosa, which is naturally found on human skin. It is more prevalent in warm and humid climates like Mumbai. The patient's history of mild fever and cold a few weeks ago suggests that her immune system may have been compromised, making her more susceptible to infection. The fact that the patient had a single lesion on her abdomen that resolved before the current rash developed suggests that the infection may have spread from that initial site.",Codex,Strongly Agree,"The patient presents with multiple light pink colored annular plaques all over her body, sparing the face, palms, soles, scalp, and mucous membranes. The patient has a history of mild fever and cold a few weeks ago, followed by the appearance of a single lesion on her abdomen that resolved, leading to the current rash. The patient's general condition is good, with stable vital signs. Based on the patient's history and physical examination, the most likely causative agent for the patient's condition is a virus. Viral exanthemata, such as roseola, fifth disease, and hand, foot, and mouth disease, commonly cause annular plaques on the skin. The fact that the patient had a recent viral illness and the appearance of a single lesion that resolved before the current rash suggests that the rash may be a result of a viral exanthem. Additionally, the absence of any other symptoms such as respiratory distress or abdominal pain supports this diagnosis. Therefore, the most suitable course of action would be to perform a viral screen, including tests for herpes simplex virus, enterovirus, and adenovirus, to confirm the diagnosis.
",KJ,Neutral,Option 1
"A 36 year old married pharmacist came with a history of inability to conceive. She has been married for 3 years and has been trying for a pregnancy for 1 year, though she never used any contraception before that. Her husband is 40 years old and has a desk job at a firm. They do not face any difficulty in sexual intercourse. She has been using the fertile period method but she reports that as her cycles are irregular she has found it difficult to track her cycles. She reports that this cycle irregularity is recent, since past 5-6 months. She bleeds every 1.5-2 months with reduced flow and minimal period cramps. She has had one surgery for a twisted ovarian cyst which had been operated laparoscopically when she was 19 years old. Other than that she has been healthy. However she has noticed weight gain and lethargy in recent months. She is concerned that her age might be a factor in her inability to conceive. What investigations must be done next to help her conceive?","The patient has been trying to conceive for 1 year, but has not succeeded. She has irregular cycles, which makes it difficult to track her fertile window. She has a history of a twisted ovarian cyst that was operated laparoscopically when she was 19 years old. She has gained weight and feels lethargic recently. To help her conceive, the following investigations should be done:

1. Ovulation induction: Clomiphene citrate challenge test (CCCT) or clomiphene citrate test (CCT) to assess ovulation and ovarian reserve.
2. Hormonal profile: Follicle-stimulating hormone (FSH), luteinizing hormone (LH), and estradiol to evaluate ovarian reserve and hypothalamic-pituitary-ovarian axis function.
3. Pelvic ultrasound: To assess uterine cavity, tubes, and ovaries for any abnormalities.
4. Semen analysis: To evaluate her partner's sperm quality and motility.
5. Thyroid function test: To rule out thyroid disorders that may affect fertility.
6. Prolactin level: To rule out hyperprolactinemia, which can affect ovulation.
7. Androgen hormones: Testosterone and DHEAS to rule out polycystic ovary syndrome (PCOS).
8. Glucose tolerance test: To rule out impaired glucose tolerance or diabetes mellitus, which may affect fertility.

After these investigations, the couple can be counseled regarding their fertility status and options for further management, such as ovulation induction, intrauterine insemination (IUI), or in vitro fertilization (IVF).",Codex,Strongly Agree,"The patient is 36 years old and has been trying to conceive for 1 year without success. She has irregular cycles which makes it difficult to track ovulation. She has had a history of ovarian cyst which was operated laparoscopically. She experiences weight gain and lethargy recently. The patient's age may be a factor in her inability to conceive. To determine the cause of infertility, a series of investigations must be done. Firstly, a pelvic ultrasound should be done to assess the uterus, tubes, and ovaries. Secondly, hormonal tests such as follicle-stimulating hormone (FSH), luteinizing hormone (LH), prolactin, and thyroid function tests should be conducted to evaluate ovulation and thyroid function. Thirdly, a semen analysis should be done to assess the quality and quantity of her husband's sperm. Fourthly, a hysterosalpingogram (HSG) should be done to evaluate the patency of the fallopian tubes. Lastly, genetic testing may be considered to rule out any genetic disorders that may be contributing to infertility. These investigations will help identify the underlying cause of infertility and guide further management to help the couple conceive.",KJ,Agree,Option 1
"26 year old lady, a non smoker, with no comorbidity presented with complaints of blood in the sputum since 2 months. She had history of pulmonary TB 10 years back for which she had completed a course of Anti Tubercular Treatment (ATT) as per the advice of the local TB treatment centre. She had a recurrence of TB 5 years back which was diagnosed as multi drug resistant TB (MDR-TB). She was then put on ATT regimen for MDR TB for around 18 months. Patient mentioned that she is been having recurrent cough with expectoration and fever once or twice a year for last 3 years. She is otherwise healthy with good general condition and effort tolerance. She is able to climb 3 floors without stopping without any desaturation. X ray chest showed opacity in bilateral upper zone. CECT thorax showed an aspergilloma in the left upper lobe and a significant area of bronchiectasis in the right upper lobe. What should be the next best investigation.","The patient has a history of pulmonary TB, which recurred as multidrug-resistant TB (MDR-TB). She has been experiencing recurrent cough with expectoration and fever once or twice a year for the past three years. The patient is otherwise healthy with good general conditions and effort tolerance. X-ray chest showed opacity in bilateral upper zones. CT thorax showed an aspergilloma in the left upper lobe and a significant area of bronchiectasis in the right upper lobe. The patient's history of recurrent TB and the presence of an aspergilloma suggest that she may have chronic cavitary pulmonary aspergillosis (CCPA). Bronchoalveolar lavage (BAL) would be the next best investigation to confirm the diagnosis of CCPA. BAL can detect Aspergillus in the lungs and rule out other causes of cavitary lung lesions.
",Codex,Strongly Agree,"The patient has a history of pulmonary TB 10 years ago and another recurrence 5 years ago which was diagnosed as multidrug-resistant TB (MDR-TB). The patient has been having recurrent cough with expectoration and fever once or twice a year for the past 3 years. The patient is otherwise healthy with good general condition and effort tolerance. X-ray chest showed opacity in bilateral upper zones. CECT thorax showed an aspergilloma in the left upper lobe and a significant area of bronchiectasis in the right upper lobe. Given the patient's history of TB and current symptoms, it is important to rule out active TB infection. Aspergilloma is a fungal infection that can cause symptoms similar to TB, so it is important to confirm the diagnosis. Bronchiectasis is a permanent dilatation of the bronchi, which can be caused by chronic lung disease, including TB. Therefore, the next best investigation would be a sputum acid-fast bacilli (AFB) smear and culture to determine if there is active TB infection. If the sputum AFB smear and culture are positive, the patient should be started on anti-TB treatment. If the sputum AFB smear and culture are negative, further evaluation with a bronchoscopy and biopsy may be necessary to determine the cause of the patient's symptoms.",KJ,Agree,Option 1
A young 16 year old girl was brought by her parents as she cut herself on her wrists. She said she had a bad breakup with her boyfriend. She says she does not want to live any more. She feels sad. Does not enjoy any activities. Says there is no reason to live or achieve anything. Is not sleeping or eating since one week. Not attending her college. Only on phone all day . Crying all day and repeatedly calling her boyfriend who is not entertaining her calls. She threatens to end her life. What is the diagnosis and what is line of management?,"The patient is a 16-year-old girl who has been experiencing a difficult breakup with her boyfriend. She has been feeling sad, hopeless, and has lost interest in activities she once enjoyed. She has not been able to sleep or eat for the past week and has stopped attending college. She spends most of her time on her phone, constantly calling her ex-boyfriend, who is not responding to her calls. She has made threats to end her life. Based on these symptoms, the diagnosis is likely to be major depressive disorder. The patient's behavior and thoughts suggest that she may be at risk of suicide. It is important to address this issue promptly and provide appropriate support and interventions.

The line of management for this patient would include:

1. Assessment of suicide risk: A thorough assessment of the patient's suicidal ideation and intent should be conducted. This includes asking about the presence and severity of suicidal thoughts, any specific plans or methods, and the level of intent.
2. Psychotherapy: The patient should be referred for psychotherapy, specifically cognitive-behavioral therapy (CBT), which has been shown to be effective in treating adolescent depression. CBT can help the patient identify and challenge negative thought patterns and behaviors associated with depression.
3. Medication: Antidepressant medication, such as selective serotonin reuptake inhibitors (SSRIs), may be considered as an adjunct to therapy. However, it is important to note that antidepressants should not be prescribed without adequate psychotherapy.
4. Support and education: The patient's family and friends should be involved in her care and provided with education on depression and its management. They should also be aware of the warning signs of suicide and how to intervene.
5. Follow-up: Regular follow-up appointments should be scheduled to monitor the patient's progress and adjust treatment as needed.

It is important to note that the patient's safety is of utmost importance. If the patient is deemed to be at high risk of suicide, hospitalization may be necessary until the risk is reduced.",Codex,Strongly Agree,"The patient is a 16-year-old girl who has recently gone through a breakup with her boyfriend. She has been feeling sad, hopeless, and has lost interest in activities she once enjoyed. She has not been able to sleep or eat properly for the past week and has stopped attending college. She spends most of her time on her phone, crying and calling her ex-boyfriend, who is not responding to her calls. She has expressed a desire to end her life. Based on these symptoms, the diagnosis is likely to be major depressive disorder. The patient's behavior and thoughts suggest that she is experiencing a major depressive episode, which can be triggered by stressful life events such as a breakup. The patient's suicidal ideation also suggests that she may have a high risk of attempting suicide. The first step in managing this patient's condition would be to address her immediate safety concerns. The patient should be evaluated for suicide risk and if necessary, hospitalized for observation and safety. Next, a comprehensive psychiatric evaluation should be conducted to assess the severity of her depression and any potential underlying issues. Treatment options may include antidepressant medication, psychotherapy, or a combination of both. Family therapy may also be beneficial in addressing the patient's relationships and communication with her family members.",KJ,Agree,Option 1
"A 35 year old woman pays a visit to the dermatology outpatient department for brittle nails, after getting a manicure. On further evaluation, she gives a history of burning sensation in the mouth after consuming hot or spicy food. On examination, the nails showed thin nails with onycholysis and pterygium. The buccal mucosa and tongue showed white patches and one ulcer. There were a few itchy dark papules over the ankles. What is the most likely diagnosis?","The patient has brittle nails, onycholysis, and pterygium. She also has a burning sensation in the mouth after consuming hot or spicy food. The buccal mucosa and tongue show white patches and one ulcer. There are also itchy dark papules over the ankles. All these symptoms point towards a diagnosis of lichen planus. Lichen planus is a chronic inflammatory disease that affects the skin and mucous membranes. It is characterized by the presence of flat-topped, polygonal papules that are often itchy. The patient's symptoms of burning sensation in the mouth and white patches on the buccal mucosa and tongue are consistent with oral lichen planus. The presence of pterygium and onycholysis also support this diagnosis. Therefore, the most likely diagnosis is lichen planus.
",Codex,Agree,"The patient presents with complaints of brittle nails after getting a manicure. She also reports a burning sensation in her mouth after eating hot or spicy food. On examination, the nails show thin nails with onycholysis and pterygium. The buccal mucosa and tongue show white patches and one ulcer. There are also a few itchy dark papules over the ankles. Based on these symptoms, the most likely diagnosis is lichen planus. Lichen planus is a chronic inflammatory disease that affects the skin, hair, and mucous membranes. It is characterized by the presence of white patches on the skin and mucous membranes, and can cause burning sensations in the mouth. The presence of onycholysis and pterygium on the nails is also consistent with lichen planus. The itchy dark papules on the ankles may be a sign of an associated condition called lichen simplex chronicus. Therefore, the most suitable course of action would be to perform a biopsy to confirm the diagnosis of lichen planus.
",KJ,Strongly Agree,Option 2
A 26 year old woman came to the obgyn opd with heaviness and dull aching pain in her lower abdomen for the last 2-3 months. She has been married for two years and has no other abdominal complaints. Her menses are regular and moderate in quantity. On abdominal examination there is a firm mass in her abdomen extending in the midline from pelvis till up till the umbilicus. It is mobile and non tender. On vaginal examination cervix appears healthy and is contiguous with the mass. What MRI features of such a mass would indicate malignant potential?,"The patient has a firm mass in her abdomen that extends from the pelvis to the umbilicus. The mass is mobile and non-tender. The cervix appears healthy and is contiguous with the mass. The patient has been experiencing heaviness and dull aching pain in her lower abdomen for the last 2-3 months. The patient's age and symptoms suggest that the mass may be related to reproductive organs. An MRI scan would be helpful in determining the nature of the mass. If the MRI shows a solid component with irregular margins, ill-defined borders, or areas of necrosis, it would indicate malignant potential. Other features that suggest malignancy include a large size (>5 cm), irregular shape, and enhancement after contrast administration.",Codex,Agree,"A 26-year-old woman presents with a 2-3 month history of lower abdominal heaviness and dull aching pain. She has no other abdominal complaints and her menses are regular and moderate in quantity. On abdominal examination, a firm mass is palpable in the abdomen, extending from the pelvis to the umbilicus, and is mobile and non-tender. On vaginal examination, the cervix appears healthy and is contiguous with the mass. The patient's age and symptoms suggest that the mass may be related to reproductive organs. The fact that the mass is firm, mobile, and non-tender suggests that it may be a fibroid. Fibroids are benign tumors that originate from the smooth muscle cells of the uterus. They are common in women of childbearing age and can cause symptoms such as abdominal pain, heavy menstrual bleeding, and infertility. However, it is important to consider the possibility of malignancy, especially in a patient with a rapidly growing mass. MRI features that may indicate malignant potential include:

1. Rapid growth: If the mass has grown significantly in size over a short period of time, it may indicate malignancy.
2. Irregular shape: A mass with an irregular shape may be more likely to be malignant than one with a round or oval shape.
3. Ill-defined margins: If the edges of the mass are not well-defined or are irregular, it may indicate malignancy.
4. Enhancement: If the mass demonstrates rapid enhancement or ""washout"" after the administration of contrast material, it may indicate malignancy.
5. Restricted diffusion: If the mass shows restricted diffusion on DWI sequences, it may indicate malignancy.
6. High signal intensity on T2-weighted images: If the mass demonstrates high signal intensity on T2-weighted images, it may indicate malignancy.
7. Low signal intensity on T1-weighted images: If the mass demonstrates low signal intensity on T1-weighted images, it may indicate malignancy.
8. Presence of necrosis or hemorrhage: If the mass demonstrates areas of necrosis or hemorrhage, it may indicate malignancy.

It is important to note that these features are not specific to malignancy and may also be seen in benign masses. Therefore, it is essential to evaluate the patient's clinical presentation, imaging findings, and histopathology results to make a definitive diagnosis.",KJ,Strongly Agree,Option 2
"A 40 year old male presented to the casualty with breathlessness. He had been feeling this since ten mins so wife rushed him . His heart rate was 150 . He was flushed n could not speak. All examinations were normal. Cardiologist said no issue. He then revealed he has had these episodes since two months where he feels breathless, heart beats fast, feels limp in throat and often worries when he Wil have the next attack . He says the attack subsides in 15-20 mins usually. He off late has been stressing a lot at work n has been going through some personal issues too","The patient is a 40-year-old male who presented to the emergency room with breathlessness. He has been experiencing these episodes for two months, where he feels breathless, heart beats fast, feels limp in the throat, and often worries when he will have the next attack. The attacks subside in 15-20 minutes usually. He has been stressing a lot at work and has been going through some personal issues too. The cardiologist said no issue. Given the patient's symptoms and history, it is likely that he is experiencing panic attacks. Panic attacks are episodes of intense fear or anxiety that occur suddenly and reach a peak within minutes. They can be accompanied by physical symptoms such as a racing heart, sweating, and difficulty breathing. The patient's worry about having another attack and the impact of stress and personal issues suggest that he may be experiencing panic disorder. The most appropriate next step in management would be to refer the patient to a psychiatrist or a therapist for further evaluation and treatment.",Codex,Agree,"The patient is a 40-year-old male who presented to the casualty with breathlessness that started 10 minutes ago. His heart rate was 150, and he appeared flushed and unable to speak. All examinations were normal, and the cardiologist found no issues. The patient then revealed that he has been experiencing these episodes for two months, where he feels breathless, his heart beats fast, he feels a lump in his throat, and he worries when he will have the next attack. The attacks typically subside in 15-20 minutes. The patient has been under a lot of stress at work and has been dealing with personal issues. Based on the patient's symptoms and history, it seems like he might be experiencing panic attacks. Panic attacks are episodes of intense fear or anxiety that can occur suddenly and without warning. They can cause physical symptoms such as a racing heart, sweating, and difficulty breathing. The patient's worry about having another attack and the fact that the attacks subside in 15-20 minutes suggest that he may be experiencing panic attacks. It is important to rule out any underlying medical conditions that could be causing the panic attacks, such as hyperthyroidism or cardiovascular disease. I would recommend that the patient see a psychiatrist or a therapist to discuss his symptoms and develop coping strategies for managing his anxiety.",KJ,Strongly Agree,Option 2
"A 64 year old woman who stays at an old age home, presented with skin lesions over lower lip, nose and scalp. The lesions are plaques with mild crusting and on removal of the adherent crust, follicular spikes are seen underneath. She is a vegetable vendor and gives a history of burning sensation over the lesions on prolonged sun-exposure. On further examination, few scarring, central atrophy, telangiectasia and hypopigmentation was noticed on affected areas. Ears show small pitting. In which spectrum of lupus does she fit?","The patient has skin lesions over the lower lip, nose, and scalp. The lesions are plaques with mild crusting and on removal of the adherent crust, follicular spikes are seen underneath. The patient is a vegetable vendor and gives a history of burning sensation over the lesions on prolonged sun exposure. On further examination, few scarring, central atrophy, telangiectasia, and hypopigmentation are noticed on affected areas. Ears show small pitting. The patient's symptoms and physical examination findings are consistent with discoid lupus erythematosus (DLE). DLE is a form of cutaneous lupus erythematosus that is characterized by chronic, disk-shaped lesions on the skin. It is usually photosensitive and may result in scarring and hypopigmentation. The presence of follicular spikes suggests that the lesions are active. The patient's occupation and history of prolonged sun exposure increase the likelihood of DLE.
",Codex,Strongly Agree,"The patient is a 64-year-old woman who presents with skin lesions on her lower lip, nose, and scalp. The lesions are described as plaques with mild crusting and follicular spikes underneath upon removing the crust. The patient reports a burning sensation over the lesions after prolonged sun exposure. Further examination reveals scarring, central atrophy, telangiectasia, and hypopigmentation on the affected areas. Additionally, the ears show small pitting. Based on these symptoms, the patient likely has a form of cutaneous lupus erythematosus (CLE). CLE is a spectrum of autoimmune diseases that affect the skin and can be associated with systemic lupus erythematosus (SLE). The patient's symptoms, such as the malar rash, photosensitivity, and follicular spikes, are consistent with subacute cutaneous lupus erythematosus (SCLE). SCLE typically presents with papulosquamous lesions on sun-exposed areas, and the follicular spikes are a characteristic feature. The presence of scarring, central atrophy, telangiectasia, and hypopigmentation suggests that the patient may have had a longer duration of disease. Therefore, the patient fits into the spectrum of SCLE.",KJ,Disagree,Option 1
"65 year old gentleman, a chronic smoker without any comorbidities, presented with c/o chronic cough since last 6 months. He is having mild blood in the sputum since last 7 days. There is no breathlessness, chest pain, change in voice, loss of appetite or loss of weight. X ray chest showed an opacity in the right lung. CECT thorax showed a 4 x 4 cm mass in the right upper lobe of lung with enlarged mediastinal lymph nodes. There was no other abnormality found. CT guided biopsy was done which revealed the mass to be a squamous cell carcinoma of lung. What should be the next investigation?","The patient has been diagnosed with squamous cell carcinoma of the lung. The next step would be to determine the extent of the cancer. The best way to do this is by performing a positron emission tomography (PET) scan. A PET scan uses small amounts of radioactive materials to visualize the spread of cancer cells in the body. It can help identify the size and location of the tumor, as well as any metastases.
",Codex,Agree,"The patient is a chronic smoker and has been experiencing chronic cough for six months, with mild blood in the sputum for the past seven days. An X-ray of the chest revealed an opacity in the right lung, and a CT scan of the thorax showed a 4x4 cm mass in the right upper lobe of the lung, along with enlarged mediastinal lymph nodes. A CT-guided biopsy confirmed the mass to be a squamous cell carcinoma of the lung. Given these findings, the next investigation should be a staging workup to determine the extent of the cancer. This may include a positron emission tomography (PET) scan, which can help identify any metastasis in other parts of the body, such as the lymph nodes, liver, adrenal glands, or bones. Additionally, blood tests may be ordered to check for certain tumor markers, such as CEA, CYFRA 21-1, and NSE, which can provide additional information about the cancer's stage and aggressiveness.",KJ,Strongly Agree,Option 2
A 44 year old woman visited the opd c/o heavy menstrual bleeding for the past 10 days preceded by prolonged spotting for 8 days. she has recently noticed some irregularity in her menses in the last 3-6 months. She has noticed weight gain of about 3 kg in the same time period. She has had two normal deliveries and no other surgeries. She has diabetes mellitus and has been on tab. Metformin 500 mg three times a day for the last 2 years. She reports that her blood sugars are regularly checked but recently have been outside the limit advised by her GP. She is not a known hypertensive. An ultrasonography of the pelvis reveals a bulky uterus 12*7*8 cm in size with an endometrial thickness of 18mm showing cystic spaces within. What should be the next investigation and treatment plan in this patient?,"The patient has heavy menstrual bleeding for the past 10 days, preceded by prolonged spotting for 8 days. She has irregularity in her menses in the last 3-6 months. She has gained weight of about 3 kg in the same time period. She has diabetes mellitus and has been on Tab. Metformin 500 mg three times a day for the last 2 years. She reports that her blood sugars are regularly checked but recently have been outside the limit advised by her GP. She is not a known hypertensive. An ultrasonography of the pelvis reveals a bulky uterus 12*7*8 cm in size with an endometrial thickness of 18mm showing cystic spaces within. The patient has symptoms suggestive of polycystic ovary syndrome (PCOS). PCOS is a common hormonal disorder that can cause irregular menstrual periods, weight gain, and cysts on the ovaries. It is also associated with insulin resistance, which can lead to type 2 diabetes. The patient's recent increase in blood sugar levels suggests that she may have developed insulin resistance. The next investigation would be to confirm the diagnosis of PCOS. This can be done with a hormonal evaluation, including testosterone and estrogen levels, and a glucose tolerance test to assess insulin sensitivity. Treatment options for PCOS include lifestyle modifications such as weight loss and exercise, medications to regulate menstrual cycles and fertility, and surgery to remove cysts or the ovaries. In this case, the patient's recent increase in blood sugar levels suggests that metformin therapy may need to be adjusted or additional medications to improve insulin sensitivity may be necessary.",Codex,Strongly Agree,"The patient presents with heavy menstrual bleeding for 10 days, preceded by 8 days of spotting, indicating abnormal uterine bleeding. The patient has a history of irregular menses for 3-6 months, weight gain of 3 kg, and a history of diabetes mellitus managed with metformin. The ultrasound reveals a bulky uterus with an endometrial thickness of 18mm and cystic spaces within, suggesting endometrial polyps or adenomyosis. The patient's recent irregular periods, heavy bleeding, and weight gain suggest a possible hormonal imbalance. To confirm the diagnosis, the next step would be to perform an endometrial biopsy to evaluate for any endometrial pathology such as adenocarcinoma, atypical hyperplasia, or endometrial polyps. If the biopsy results indicate endometrial cancer, further imaging such as MRI may be needed to assess the extent of disease. Treatment options for endometrial cancer include surgery (total hysterectomy and bilateral salpingo-oophorectomy) and radiation therapy. In addition, the patient's diabetes mellitus should be closely monitored and managed appropriately to prevent any complications.",KJ,Neutral,Option 1
"A 46 year old man visits an outpatient department of dermatology with sudden loss of scalp hair in patches. On a detailed examination, partial loss of eyelashes were noticed. Hair pull test was positive at the margins of the bald patches. On dermoscopic evaluation, black dots, yellow dots, broken and tapering hair were observed. What is the drug of choice to halt the progression of the disease?","The patient has sudden loss of scalp hair in patches, partial loss of eyelashes, a positive hair pull test at the margins of the bald patches, and characteristic findings on dermoscopic evaluation (black dots, yellow dots, broken and tapering hair). All these findings point towards alopecia areata. Alopecia areata is an autoimmune disease that causes hair loss on the scalp, eyebrows, and beards, as well as other areas of the body. It occurs when the body's immune system mistakenly attacks healthy hair follicles, causing them to stop producing hair. The goal of treatment is to suppress the immune system and promote hair growth. The first-line treatment for patchy alopecia areata is intralesional triamcinolone injections. Triamcinolone is a type of steroid that helps reduce inflammation and suppress the immune system. It is injected directly into the affected area to promote hair growth and reduce hair loss. Therefore, the drug of choice to halt the progression of the disease is triamcinolone.
",Codex,Strongly Agree,"The patient presents with sudden loss of scalp hair in patches, which suggests the possibility of an autoimmune condition. The partial loss of eyelashes also supports this notion. The positive hair pull test at the margins of the bald patches further supports the diagnosis of an autoimmune condition. The dermoscopic evaluation reveals the presence of black dots, yellow dots, broken and tapering hair, which are characteristic of alopecia areata. Alopecia areata is an autoimmune condition that causes hair loss due to the immune system attacking the hair follicles. The drug of choice to halt the progression of the disease is corticosteroids, specifically intralesional triamcinolone injections. These injections can help suppress the immune system and promote hair regrowth.
",KJ,Strongly Agree,Both are equal
"Parents bring in their 6 year old due to complaints from school teachers about his behavior. Does not sit in one place, distracts the class, does not do writing work. He keeps talking in class. He often gets up from his place. At home parents find it a challenge to get him to complete activities. Is always on the go. They now avoid going to restaurants as he gets very restless. What is the most likely diagnosis and management plan?","The child has difficulty sitting still, paying attention, and completing tasks. He is constantly moving and fidgety, causing disruptions in the classroom and at home. The child's behavior is impacting daily life, making it challenging for the family to take him to public places like restaurants. The most likely diagnosis based on these symptoms is Attention Deficit Hyperactivity Disorder (ADHD). Management for ADHD typically involves a combination of behavioral therapy and medication. Behavioral therapy techniques such as organizational skills training, social skills training, and counseling can help the child manage their impulsivity and improve their ability to focus. Medications commonly used to treat ADHD include stimulants (e.g., Ritalin, Adderall) and non-stimulants (e.g., Strattera). It is essential to work closely with a healthcare provider to determine the best course of treatment for the child.
",Codex,Agree,"The child is 6 years old and is having trouble sitting still, paying attention, and completing tasks. He is constantly moving around and talking, causing disruptions in the classroom and at home. The parents have tried to manage his behavior by avoiding certain situations, such as going to restaurants, but it has not been effective. The most likely diagnosis based on these symptoms is Attention Deficit Hyperactivity Disorder (ADHD). ADHD is a neurodevelopmental disorder characterized by symptoms of inattention, hyperactivity, and impulsivity. The management plan for ADHD typically involves a combination of medication and behavioral therapy. Stimulant medications, such as Ritalin or Adderall, are commonly used to help improve focus and reduce hyperactivity. Behavioral therapy, such as cognitive-behavioral therapy, can help the child learn strategies to manage their impulsivity and inattention. Additionally, parents and teachers can work together to create a structured and supportive environment that helps the child succeed.",KJ,Strongly Agree,Option 2
A 52 year old woman presented to the opd complaining of dull aching pain on the right side of her lower abdomen for the last 2-3 months. She is a para 3 with all three caesarean sections. She had her last menstrual period three years back and never had any bleeding or vaginal spotting since then. Her ultrasound pelvis revealed a large ovarian cystic mass of 7*5*5 cm on the right. The cyst is multiseptated with thick septal walls and has hemorrhagic fluid within. There is no visible solid component. Her CA 125 report is 170 mIU/ml. Other tumours markers are also within normal range. What is the next best investigations for this patient and what tumour characteristics are important?,"The patient has a history of dull aching pain on the right side of her lower abdomen for the last 2-3 months. She is postmenopausal and has not had any vaginal bleeding or spotting since her last menstrual period three years ago. An ultrasound pelvis revealed a large ovarian cystic mass of 7*5*5 cm on the right. The cyst is multiseptated with thick septal walls and has hemorrhagic fluid within. There is no visible solid component. Her CA 125 report is 170 mIU/ml, which is elevated. Other tumour markers are within the normal range. The patient's age, postmenopausal status, and elevated CA 125 level suggest a higher likelihood of malignancy. The patient needs to undergo further testing to determine the nature of the ovarian mass. The next best investigation for this patient would be a laparotomy and biopsy of the ovarian mass. Laparotomy allows for a thorough exploration of the abdominal cavity and provides access to the ovary for biopsy. Biopsy is necessary to establish the histological features of the tumour, which are important in determining the appropriate treatment and predicting the outcome. The tumour characteristics that are important in this case include the size, location, multiseptated nature, and presence of hemorrhagic fluid within the cyst. These features, along with the patient's age and elevated CA 125 level, suggest a higher likelihood of malignancy.",Codex,Disagree,"The patient is a 52-year-old woman who is postmenopausal and has a history of three caesarean sections. She has been experiencing dull aching pain on the right side of her lower abdomen for the past 2-3 months. An ultrasound of the pelvis reveals a large ovarian cystic mass measuring 7*5*5 cm on the right side. The cyst is multiseptated with thick septal walls and contains hemorrhagic fluid within. There is no visible solid component. The patient's CA 125 level is elevated at 170 mIU/ml. Other tumor markers are within the normal range. Given the patient's age and the presence of an ovarian cyst, the possibility of malignancy needs to be ruled out. The next best investigation for this patient would be a computed tomography (CT) scan of the abdomen and pelvis with contrast. This would help to better define the size, location, and extent of the cystic mass, as well as identify any potential areas of malignancy. Additionally, a biopsy of the cystic mass may be considered to confirm the diagnosis. The tumor characteristics that are important in this case include the size, location, and multiseptated nature of the cyst, as well as the presence of hemorrhagic fluid within. These features suggest that the cyst may be benign, but the elevated CA 125 level raises concern for a possible malignancy.",KJ,Strongly Agree,Option 2
